url,title,read,collection,like
http://www.woshipm.com/chuangye/1876481.html,SaaS 创业 4 年，我做互联网市场的 55 条经验感悟,380,1,0
http://www.woshipm.com/it/1875195.html,多闪：视频社交是一个伪需求,14,0,0
http://www.woshipm.com/it/1876188.html,为什么你的 App 知道你想买什么？,776,7,1
http://www.woshipm.com/newretail/1875712.html,2019新变局：加码线下零售的网易电商,423,0,0
http://www.woshipm.com/operate/1872242.html,用户增长：打造自己的流量池！,567,2,1
http://www.woshipm.com/pd/1178573.html,盈盈理财产品3.0改版设计思考,547,2,3
http://www.woshipm.com/chuangye/1875964.html,抖音是怎么做出来的？| 创业故事,878,3,4
http://www.woshipm.com/ai/1872509.html,风口之上，车联网系统到底会不会是“另一个”智能手机系统？,188,0,0
http://www.woshipm.com/it/1874935.html,社交赛道抢跑者，Soul如何斩获五千万用户？,2607,5,0
http://www.woshipm.com/data-analysis/1865457.html,数据的比较分析（一）：我们达到或者超过目标了吗？,1309,3,1
http://www.woshipm.com/rp/1869585.html,Axure RP 9 教程：记录你的能力值,920,1,0
http://www.woshipm.com/marketing/1873650.html,传统企业新营销，“新”在哪里,2056,5,4
http://www.woshipm.com/marketing/1867439.html,做营销最大的敌人——是战略思维的懒惰！,2101,3,1
http://www.woshipm.com/zhichang/1869900.html,新手如何提高设计眼界与设计思维？,345,2,0
http://www.woshipm.com/user-research/1870713.html,海外产品用户研究如何有效的进行：可用性测试篇,1131,4,2
http://www.woshipm.com/chuangye/1872840.html,杀死“公司”：坚持不融资不上市的Valve，是如何颠覆企业组织架构的？,2105,3,1
http://www.woshipm.com/operate/1846634.html,互金平台如何做用户留存？,1236,2,2
http://www.woshipm.com/it/1873331.html,瑞幸在用快车的打法做咖啡,3290,2,2
http://www.woshipm.com/it/1871967.html,春运来临，重新审视顺风车,1555,1,1
http://www.woshipm.com/it/1872872.html,大量产品服务“贬值”，才会是社会进步的标志,1049,1,2
http://www.woshipm.com/operate/1869916.html,您的2019年新媒体运营指南，请查收！,3082,5,4
http://www.woshipm.com/it/1871181.html,张小龙做微信时，42岁,4757,5,5
http://www.woshipm.com/newretail/1865896.html,新零售线下运营：28种拉新方法思考,2199,5,0
http://www.woshipm.com/pd/1871765.html,图标该配上文字吗？,2098,2,3
